price,rooms,area,floor,total_floor,district,"address",ZHK,type,year
90000000,4,117,10,15,Алмалы,Абая 109/6 — Манаса (Чапаева),LEGENDA,монолитный,2019
64000000,4,129,10,11,Ауэзов,мкр. Мамыр-1 21/2,Ак жол - Отау,кирпичный,2015
34500000,2,53,5,5,Медеу,Валиханова 83 — Карасай Батыра,,кирпичный,1972
4200000,1,20,4,4,Наурызбай,"мкр. Тастыбулак, Таутаган",,монолитный,2014
26900000,4,74,4,4,Алмалы,Казыбек Би,,панельный,1970
110000000,4,163,9,10,Медеу,Аль-Фараби 110Е — Шашкина,,монолитный,2006
25500000,2,56,1,5,Бостандык,Тимирязева,,кирпичный,1976
25700000,2,53,2,5,Бостандык,Жарокова — Жандосова,,кирпичный,1987
25500000,2,"62,1",5,18,Алмалы,Брусиловского 167 — Розыбакиева,Алтын Булак 2,монолитный,2012
37000000,3,"91,6",4,12,Алмалы,Толе би 273/5,Панорама,монолитный,2016
17500000,2,"43,1",4,4,Ауэзов,мкр. №9,,панельный,1967
16500000,1,42,4,9,Ауэзов,"мкр. Мамыр-4, Шаляпина",,панельный,2008
48000000,3,95,8,8,Алмалы,Сейфуллина 510 — Жамбыла,,кирпичный,1978
56777000,3,"133,1",9,13,Алмалы,Шевченко 164Г,,монолитный,2007
22541400,2,"53,67",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
24000000,3,57,3,5,Бостандык,мкр. Казахфильм,,панельный,1978
32000000,3,65,5,5,Бостандык,Айманова — Жандосова,,кирпичный,1991
32500000,2,"62,8",4,5,,Байтурсынова 74 — Шевченко,,кирпичный,1986
26000000,3,58,3,5,Бостандык,"мкр. Орбита-2 6, Аль-Фараби",,панельный,1978
8000000,1,30,1,2,Турксиб,Магнитная 12 — Гёте,,кирпичный,1947
25500000,2,"69,6",4,9,Алатау,"мкр. Акбулак 33, Суатколь",,монолитный,2012
33500000,3,"70,3",1,5,Алмалы,Кабанбай батыра — Нурмакова,,кирпичный,1986
43000000,2,62,9,9,Медеу,Бекхожина,,монолитный,2019
16200000,1,38,2,5,Бостандык,Абая — Ауезова,,кирпичный,1983
52000000,3,98,2,5,Бостандык,Жандосова 36,,кирпичный,1992
19000000,3,60,5,5,Бостандык,Гагарина — Утепова,,панельный,1976
55000000,3,80,3,3,Бостандык,мкр. Ерменсай 71/3,Mountain Drive,,2019
35000000,2,90,2,9,Жетысу,улица Столетова 13,,,2014
22500000,2,56,4,5,Бостандык,Вахтангова 17 — Жандосова,,кирпичный,1984
15000000,2,44,4,4,Ауэзов,мкр. №9,,панельный,1968
25872000,2,"61,6",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
140999999,3,186,4,5,Бостандык,Водопроводная 7/2,Олимп,монолитный,2009
27000000,3,62,4,5,Бостандык,"мкр. Орбита-1, Навои Биржана",,панельный,1976
4100000,1,"19,2",2,2,Турксиб,Л. Толстого 3 — Рихарда Зорге,,,1969
16000000,1,33,1,5,Бостандык,"мкр. Орбита-2 12, Аль-Фараби Навои",,панельный,1975
30000000,2,46,4,4,Ауэзов,"мкр. №1, №1 30",,панельный,1964
24000000,3,71,5,5,Ауэзов,мкр. Аксай-3 12,,,1985
19999999,3,"57,2",4,4,Ауэзов,"мкр. №1, №1 35",,панельный,1963
10000000,1,30,5,5,Жетысу,мкр. Дорожник 36/2,,кирпичный,2012
18000000,1,41,5,5,Медеу,Гоголя — Калдаякова,,кирпичный,1986
84000000,4,"156,2",5,6,Бостандык,Тимирязева 1,Керемет,кирпичный,2004
15000000,1,35,10,12,Алатау,"мкр. Акбулак, 1-я улица 43",Алмалы,монолитный,2017
17500000,2,64,1,5,Турксиб,мкр. Жулдыз-2,,панельный,1993
77000000,4,132,8,25,Бостандык,Каблукова 38в,Mega Tower Almaty,монолитный,2015
27000000,2,"51,1",4,5,Бостандык,мкр. Казахфильм 2,,кирпичный,1980
19000000,2,46,2,4,Ауэзов,"мкр. №1, №1 60 — Жубанова Правды",,панельный,1963
35000000,3,"68,3",3,5,Ауэзов,мкр. Мамыр-2 12,,панельный,1993
19600000,3,59,4,4,Ауэзов,мкр. №9 20,,,1967
30000000,4,86,5,5,Алмалы,Кожамкулова — Карасай Батыра,,кирпичный,1986
